name,website,location,country,description,category,source,collected_date
Ada Health,https://ada.com/,Berlin,Germany,AI-powered health assessment and symptom checker,AI/ML in Healthcare,Curated Database,2025-07-07
Amboss,https://www.amboss.com/,Berlin,Germany,Medical knowledge platform for doctors and students,Medical Education,Curated Database,2025-07-07
Clue,https://helloclue.com/,Berlin,Germany,Menstrual cycle tracking and women's health app,Women's Health Tech,Curated Database,2025-07-07
Doctolib,https://www.doctolib.de/,Berlin,Germany,Online appointment booking platform for healthcare,Healthcare Marketplaces,Curated Database,2025-07-07
Kry/Livi,https://www.kry.de/,Multiple,Germany,Digital healthcare provider offering video consultations,Telemedicine/Telehealth,Curated Database,2025-07-07
Medigo,https://www.medigo.com/,Berlin,Germany,Medical travel and international patient platform,Medical Tourism,Curated Database,2025-07-07
Mimi Hearing Technologies,https://www.mimi.io/,Berlin,Germany,Digital hearing health solutions,Digital Therapeutics,Curated Database,2025-07-07
Ottonova,https://www.ottonova.de/,Munich,Germany,Digital private health insurance,InsurTech Health,Curated Database,2025-07-07
Preventicus,https://www.preventicus.com/,Jena,Germany,Heart rhythm analysis via smartphone,Digital Diagnostics,Curated Database,2025-07-07
Selfapy,https://www.selfapy.de/,Berlin,Germany,Digital psychological support and therapy,Mental Health Tech,Curated Database,2025-07-07
Sonormed,https://www.sonormed.de/,Hamburg,Germany,Tinnitus therapy app,Digital Therapeutics,Curated Database,2025-07-07
Teleclinic,https://www.teleclinic.com/,Munich,Germany,Telemedicine platform for remote consultations,Telemedicine/Telehealth,Curated Database,2025-07-07
Thryve,https://www.thryve.health/,Berlin,Germany,Gut microbiome testing and analysis,Digital Diagnostics,Curated Database,2025-07-07
Vivy,https://www.vivy.com/,Berlin,Germany,Digital health record and health assistant app,Electronic Health Records,Curated Database,2025-07-07
Kenkou,https://www.kenkou.de/,Berlin,Germany,Preventive health check-up platform,Preventive Health,Curated Database,2025-07-07
Klara,https://www.klara.com/,Berlin,Germany,Medical practice communication platform,Practice Management,Curated Database,2025-07-07
Minxli,https://www.minxli.com/,Berlin,Germany,Mental health platform for youth,Mental Health Tech,Curated Database,2025-07-07
Neolexon,https://www.neolexon.de/,Munich,Germany,Speech therapy app for children,Digital Therapeutics,Curated Database,2025-07-07
Oviva,https://oviva.com/,Multiple,Germany,Digital diabetes and nutrition therapy,Digital Therapeutics,Curated Database,2025-07-07
Patientus,https://www.patientus.de/,Munich,Germany,Video consultation platform for healthcare providers,Telemedicine/Telehealth,Curated Database,2025-07-07
Pepperit,https://www.pepperit.de/,Berlin,Germany,Digital health coaching platform,Wellness Tech,Curated Database,2025-07-07
Qurasoft,https://www.qurasoft.de/,Mannheim,Germany,AI-powered medical image analysis,AI/ML in Healthcare,Curated Database,2025-07-07
Rehappy,https://www.rehappy.de/,Heidelberg,Germany,Digital therapy for stroke patients,Digital Therapeutics,Curated Database,2025-07-07
ScienceMatters,https://www.sciencematters.io/,Berlin,Germany,Scientific publishing platform,Research Tech,Curated Database,2025-07-07
Smart Reporting,https://www.smart-reporting.com/,Munich,Germany,Medical reporting software,Clinical Documentation,Curated Database,2025-07-07
Tinnitracks,https://www.tinnitracks.com/,Hamburg,Germany,Music-based tinnitus therapy,Digital Therapeutics,Curated Database,2025-07-07
UrbanSportsClub,https://urbansportsclub.com/,Berlin,Germany,Corporate wellness and fitness platform,Corporate Wellness,Curated Database,2025-07-07
Vantis,https://www.vantis-vascular.com/,Frankfurt,Germany,Vascular surgery planning software,Surgical Tech,Curated Database,2025-07-07
Wellster,https://www.wellster.de/,Munich,Germany,Digital health platform for chronic conditions,Chronic Care Management,Curated Database,2025-07-07
X-Zell,https://www.x-zell.com/,Dresden,Germany,Early cancer detection technology,Digital Diagnostics,Curated Database,2025-07-07
Yameda,https://www.jameda.de/,Munich,Germany,Doctor rating and appointment booking platform,Healthcare Marketplaces,Curated Database,2025-07-07
Zanadio,https://www.zanadio.de/,Hamburg,Germany,Digital obesity therapy app,Digital Therapeutics,Curated Database,2025-07-07
Babylon Health,https://www.babylonhealth.com/,London,United Kingdom,AI-powered health services,AI/ML in Healthcare,Curated Database,2025-07-07
Benevolent AI,https://www.benevolent.com/,London,United Kingdom,AI drug discovery platform,Drug Discovery,Curated Database,2025-07-07
Mindmaze,https://www.mindmaze.com/,Lausanne,Switzerland,Digital neurotherapeutics,Digital Therapeutics,Curated Database,2025-07-07
MindPeak,https://mindpeak.ai/,Hamburg,Germany,AI for pathology diagnostics,Digital Diagnostics,Curated Database,2025-07-07
Sophia Genetics,https://www.sophiagenetics.com/,Lausanne,Switzerland,AI-powered genomic analysis,Genomics,Curated Database,2025-07-07
Healx,https://healx.ai/,Cambridge,United Kingdom,AI for rare disease drug discovery,Drug Discovery,Curated Database,2025-07-07
Lifen,https://www.lifen.com/,Paris,France,Medical data exchange platform,Health Data Management,Curated Database,2025-07-07
Docplanner,https://www.docplanner.com/,Barcelona,Spain,Doctor appointment booking platform,Healthcare Marketplaces,Curated Database,2025-07-07
Kaia Health,https://www.kaiahealth.com/,Munich,Germany,Digital therapy for musculoskeletal conditions,Digital Therapeutics,Curated Database,2025-07-07
MindBeacon,https://www.mindbeacon.com/,Toronto,Canada,Digital mental health therapy,Mental Health Tech,Curated Database,2025-07-07
Pear Therapeutics,https://peartherapeutics.com/,Boston,United States,Prescription digital therapeutics,Digital Therapeutics,Curated Database,2025-07-07
Voluntis,https://www.voluntis.com/,Paris,France,Digital therapeutics for chronic conditions,Digital Therapeutics,Curated Database,2025-07-07
Withings,https://www.withings.com/,Paris,France,Connected health devices,Healthcare IoT,Curated Database,2025-07-07
Minddistrict,https://www.minddistrict.com/,Amsterdam,Netherlands,E-mental health platform,Mental Health Tech,Curated Database,2025-07-07
Lanserhof,https://www.lanserhof.com/,Innsbruck,Austria,Digital health and wellness solutions,Wellness Tech,Curated Database,2025-07-07
Qure.ai,https://www.qure.ai/,Mumbai,India,AI for medical imaging,AI/ML in Healthcare,Curated Database,2025-07-07
Exscientia,https://www.exscientia.ai/,Oxford,United Kingdom,AI-driven drug discovery,Drug Discovery,Curated Database,2025-07-07
Push Doctor,https://www.pushdoctor.co.uk/,Manchester,United Kingdom,Online GP consultation service,Telemedicine/Telehealth,Curated Database,2025-07-07
Mindable Health,https://www.mindablehealth.com/,Barcelona,Spain,Digital biomarkers for mental health,Mental Health Tech,Curated Database,2025-07-07
MySugr,https://www.mysugr.com/,Vienna,Austria,Diabetes management app,Chronic Care Management,Curated Database,2025-07-07
Skin Analytics,https://www.skinanalytics.co.uk/,London,United Kingdom,AI for skin cancer detection,Digital Diagnostics,Curated Database,2025-07-07
Medbelle,https://www.medbelle.com/,London,United Kingdom,Digital surgery booking platform,Healthcare Marketplaces,Curated Database,2025-07-07
Ieso Digital Health,https://www.iesohealth.com/,Cambridge,United Kingdom,Digital cognitive behavioral therapy,Mental Health Tech,Curated Database,2025-07-07
Cera,https://www.ceracare.co.uk/,London,United Kingdom,Digital home care platform,Home Care Tech,Curated Database,2025-07-07
Vitadio,https://www.vitadio.com/,Berlin,Germany,Digital diabetes prevention program,Digital Therapeutics,Curated Database,2025-07-07
Medwing,https://www.medwing.com/,Berlin,Germany,Healthcare professional recruitment platform,Healthcare HR Tech,Curated Database,2025-07-07
Infermedica,https://infermedica.com/,Wrocław,Poland,AI-powered symptom checker and triage,AI/ML in Healthcare,Curated Database,2025-07-07
Doctoralia,https://www.doctoralia.com/,Barcelona,Spain,Doctor appointment booking and ratings,Healthcare Marketplaces,Curated Database,2025-07-07
Miiskin,https://www.miiskin.com/,Copenhagen,Denmark,Skin tracking and melanoma detection app,Digital Diagnostics,Curated Database,2025-07-07
Corti,https://www.corti.ai/,Copenhagen,Denmark,AI for emergency medical calls,AI/ML in Healthcare,Curated Database,2025-07-07
Lenus Health,https://www.lenus.io/,Dublin,Ireland,Digital health coaching platform,Wellness Tech,Curated Database,2025-07-07
Lumeon,https://www.lumeon.com/,London,United Kingdom,Care pathway management platform,Care Coordination,Curated Database,2025-07-07
KRY,https://www.kry.se/,Stockholm,Sweden,Digital healthcare provider,Telemedicine/Telehealth,Curated Database,2025-07-07
Medisafe,https://www.medisafe.com/,Haifa,Israel,Medication adherence platform,Medication Management,Curated Database,2025-07-07
Aidoc,https://www.aidoc.com/,Tel Aviv,Israel,AI for radiology triage,AI/ML in Healthcare,Curated Database,2025-07-07
Sight Diagnostics,https://www.sightdx.com/,Tel Aviv,Israel,AI-powered blood diagnostics,Digital Diagnostics,Curated Database,2025-07-07
Tytocare,https://www.tytocare.com/,Tel Aviv,Israel,Remote examination devices,Remote Patient Monitoring,Curated Database,2025-07-07
Sweetch,https://www.sweetch.com/,Tel Aviv,Israel,AI for chronic disease prevention,Preventive Health,Curated Database,2025-07-07
Kemtai,https://www.kemtai.com/,Tel Aviv,Israel,AI-powered physiotherapy,Digital Therapeutics,Curated Database,2025-07-07
Oxehealth,https://www.oxehealth.com/,Oxford,United Kingdom,Contact-free vital signs monitoring,Remote Patient Monitoring,Curated Database,2025-07-07
Current Health,https://currenthealth.com/,Edinburgh,United Kingdom,Remote patient monitoring platform,Remote Patient Monitoring,Curated Database,2025-07-07
Luminate Medical,https://www.luminatemedical.com/,Dublin,Ireland,Medical device for chemotherapy hair loss,Medical Device,Curated Database,2025-07-07
Neurovalens,https://www.neurovalens.com/,Belfast,United Kingdom,Neurostimulation medical devices,Medical Device,Curated Database,2025-07-07
Aparito,https://www.aparito.com/,Wrexham,United Kingdom,Patient-centered data collection,Clinical Trials Tech,Curated Database,2025-07-07
Huma,https://www.huma.com/,London,United Kingdom,Digital health platform for research and care,Digital Health Platform,Curated Database,2025-07-07
Unmind,https://www.unmind.com/,London,United Kingdom,Workplace mental health platform,Corporate Wellness,Curated Database,2025-07-07
Patchwork Health,https://www.patchwork.health/,London,United Kingdom,Healthcare workforce management,Healthcare HR Tech,Curated Database,2025-07-07
Lantum,https://www.lantum.com/,London,United Kingdom,GP locum booking platform,Healthcare HR Tech,Curated Database,2025-07-07
Healthera,https://www.healthera.co.uk/,London,United Kingdom,Digital pharmacy platform,Pharmacy Tech,Curated Database,2025-07-07
Echo,https://www.echo.co.uk/,London,United Kingdom,Online pharmacy and medication delivery,Pharmacy Tech,Curated Database,2025-07-07
69 Best Health Tech Startups in Germany to Watch in 2025,https://www.seedtable.com/best-health-tech-startups-in-germany,,Germany,"The Definitive Seedtable Ranking of Health Tech Startups in Germany We track 71,000+ companies and rank them dynamically using our Seedtable Score - a score that uses quantitative and qualitative data...",Digital Health,Web Search,2025-07-07
48 Top Digital Health Companies in Germany · July 2025,https://www.f6s.com/companies/digital-health/germany/co,,Germany,"Detailed info and reviews on 48 top Digital Health companies and startups in Germany in 2025. Get the latest updates on their products, jobs, funding, investors, founders and more.",AI/ML in Healthcare,Web Search,2025-07-07
Top 10 Innovative MedTech Startups Revolutionizing Healthcare in ...,https://www.zefyron.com/innovative-medTechstartups-revolutionizing-healthcare-in-germany-2024,,Germany,"Digital Health Boom: Germany embraces telemedicine, wearables, and health apps, offering convenience, accessibility, and remote health management, propelling the country to the forefront of Digital He...",AI/ML in Healthcare,Web Search,2025-07-07
Top 12 HealthTech Startups in Germany,https://startuprise.co.uk/top-10-healthtech-startups-in-germany/,,United Kingdom,"Whether through digital health platforms, remote monitoring tools, or personalized health applications, these startups contribute to the ongoing digital transformation of the healthcare sector, ultima...",Remote Patient Monitoring,Web Search,2025-07-07
"10 Digital Health Startups aus Deutschland, die deine ...",https://www.ottonova.de/digital/digital-health-startups,,Germany,"10 Digital Health Startups aus Deutschland, die deine Gesundheit revolutionieren Lange war das Silicon Valley der Maßstab für Innovationen. Inzwischen beweisen auch immer mehr Digital Health Startups ...",Electronic Health Records,Web Search,2025-07-07
Diese deutschen Startups wollen das Gesundheitssystem mit ...,https://omr.com/de/daily/gesundheitssystem-mit-digitalen-innovationen-nach-vorne-bringen,,Europe,"Mit dem Health-i Award arbeitet die Techniker Krankenkasse daran, dies zu ändern. Gemeinsam mit dem Handelsblatt werden jährlich Startups ausgezeichnet, die mit digitalen Innovationen das Gesundheitss...",Digital Health,Web Search,2025-07-07
Digital health: Europe's most promising startups,https://sifted.eu/scout/digital-health-q1-2024,,Europe,"Europe's most promising early-stage digital health startups as of Q1 2024, scouted and scored by Sifted analysts.",Digital Health,Web Search,2025-07-07
Start,https://healthcare-startups.de/,,Germany,"Eudaria von Mirjam Bauer | Juni 20, 2025 | Allgemein, Location, Startup Eudaria ist eine KI-gestützte Software für die strukturierte Dokumentation in der ärztlichen Sprechstunde - direkt aus dem gespr...",Digital Health,Web Search,2025-07-07
"Sector Highlights: Energy, Health, Fintech, and AI Startups in Germany 2024",https://www.startuprad.io/post/sector-highlights-energy-health-fintech-and-ai-startups-in-germany-2024,,Germany,"The COVID-19 pandemic accelerated the adoption of digital health solutions, and this momentum has continued into 2024. With an aging population and increasing demand for efficient healthcare services,...",AI/ML in Healthcare,Web Search,2025-07-07
CB Insights: Top 50 Digital Health Startups of 2024,https://www.greaterbayhealthcare.com/post/cb-insights-top-50-digital-health-startups-of-2024,,Europe,"Recently, CB Insights announced its ""2024 Top 50 Digital Health Companies"" list, identifying the 50 most promising private digital healthcare companies worldwide based on data signals and proprietary ...",AI/ML in Healthcare,Web Search,2025-07-07
54 Top HealthTech Companies in Germany · July 2025,https://www.f6s.com/companies/healthtech/germany/co,,Germany,"Detailed info and reviews on 54 top HealthTech companies and startups in Germany in 2025. Get the latest updates on their products, jobs, funding, investors, founders and more.",AI/ML in Healthcare,Web Search,2025-07-07
Top 44 largest German Healthcare Companies 2025,https://disfold.com/germany/sector/healthcare/companies/,,Germany,Top 44 largest German Companies in the Healthcare sector by Market Cap This is the list of the largest public listed companies in the Healthcare sector from Germany by market capitalization with links...,Digital Health,Web Search,2025-07-07
List of the 250 largest medical technology companies Germany,https://www.researchgermany.com/product/medical-technology-companies-germany/,,Germany,"Our detailed list of the 250 largest medical technology companies in Germany. Including revenues, employees numbers, contact details, management and more.",AI/ML in Healthcare,Web Search,2025-07-07
Top 82 medical and healthcare startups in Germany (June 2025),https://www.medicalstartups.org/country/Germany/,,Europe,"Ada is a personal health companion that uses AI and machine learning to help people to understand and manage their health. Designed by a team of 100 doctors, data scientists and engineers, Ada was lau...",AI/ML in Healthcare,Web Search,2025-07-07
100 Top Health/Medical Companies in Germany · July 2025,https://www.f6s.com/companies/health-medical/germany/co,,Germany,"Detailed info and reviews on 100 top Health/Medical companies and startups in Germany in 2025. Get the latest updates on their products, jobs, funding, investors, founders and more.",AI/ML in Healthcare,Web Search,2025-07-07
List of top Germany Health Care Companies,https://www.crunchbase.com/hub/germany-health-care-companies,,Germany,"This list of companies and startups in Germany in the health care space provides data on their funding history, investment activities, and acquisition trends. Insights about top trending companies, st...",Digital Health,Web Search,2025-07-07
Top 10 Health Care Companies in Germany 2025,https://www.surfe.com/industries/healthcare/germany/,,Germany,"Germany stands as a leader in health care innovation, boasting a robust industry with some of the most renowned companies in the field. These organizations excel in medical technology, pharmaceuticals...",Drug Discovery,Web Search,2025-07-07
Top 21 Medical Devices Companies in Germany,https://www.inven.ai/company-lists/top-21-medical-devices-companies-in-germany,,Germany,"Explore innovative medical devices companies in Germany, featuring Biotronik and Karl Storz among the top players shaping healthcare technology.",Healthcare IoT,Web Search,2025-07-07
Code meets care: 20 European HealthTech startups to watch in 2025 and ...,https://www.eu-startups.com/2025/06/code-meets-care-20-european-healthtech-startups-to-watch-in-2025-and-beyond/,,Europe,"A new generation of HealthTech startups is emerging across Europe, redefining how we access, monitor, and manage our wellbeing. By harnessing digital solutions and software-driven technologies, these ...",AI/ML in Healthcare,Web Search,2025-07-07
