name,website,country,location,category,description
Biomedical International,https://www.biomedical-international.com/,Austria,Vienna,Medical Devices,Innovative medical devices
Cogvis,https://www.cogvis.com/,Austria,Vienna,Medical Imaging,Real-time medical imaging
Contextflow,https://contextflow.com/,Austria,Vienna,AI Radiology,3D medical image search
Diagnosia,https://www.diagnosia.com/,Austria,Vienna,Clinical Decision Support,Medical reference app
ImageBiopsy Lab,https://www.imagebiopsylab.com/,Austria,Vienna,AI MSK Analysis,AI for musculoskeletal analysis
KML Vision,https://www.kmlvision.com/,Austria,Graz,AI Pathology,AI-powered pathology
Medicus AI,https://www.medicus.ai/,Austria,Vienna,AI Health Assistant,AI health companion
Scarletred,https://www.scarletred.com/,Austria,Vienna,Wound Care,Digital wound documentation
Symptoma,https://www.symptoma.com/,Austria,Vienna,AI Diagnosis,AI symptom checker
mySugr,https://www.mysugr.com/,Austria,Vienna,Diabetes Management,Diabetes management app
Andaman7,https://www.andaman7.com/,Belgium,Brussels,PHR Platform,Personal health records
Byteflies,https://www.byteflies.com/,Belgium,Antwerp,Wearable Analytics,Medical-grade wearables
FibriCheck,https://www.fibricheck.com/,Belgium,Hasselt,Heart Rhythm,Smartphone heart rhythm app
Icometrix,https://icometrix.com/,Belgium,Leuven,AI Neurology,AI for brain MRI analysis
Lynxcare,https://www.lynxcare.io/,Belgium,Leuven,Clinical Data,Clinical data extraction
MintT,https://www.mintt.care/,Belgium,Ghent,Physical Therapy,Digital physical therapy
MyHealthbox,https://www.myhealthbox.eu/,Belgium,Brussels,Medication Info,Digital medication leaflets
Ontoforce,https://www.ontoforce.com/,Belgium,Ghent,Data Integration,Life sciences data platform
Radiomics,https://www.radiomics.bio/,Belgium,Liège,Medical Imaging AI,Radiomics analysis platform
UgenTec,https://www.ugentec.com/,Belgium,Hasselt,Molecular Diagnostics,PCR analysis software
Carebot,https://www.carebot.com/,Czech Republic,Prague,Healthcare Chatbots,AI healthcare assistants
Cyrkl,https://cyrkl.com/,Czech Republic,Prague,Healthcare Waste,Medical waste management
DocPlanner,https://www.znamylekar.cz/,Czech Republic,Prague,Appointment Booking,Doctor appointment platform
Kardi AI,https://kardi.ai/,Czech Republic,Prague,AI Cardiology,AI-powered ECG analysis
Loono,https://www.loono.cz/,Czech Republic,Prague,Preventive Health,Prevention education platform
MDchat,https://mdchat.cz/,Czech Republic,Prague,Medical Communication,Secure medical messaging
MEDDI,https://www.meddi.com/,Czech Republic,Prague,Medical Records,Digital health records
Medicalc,https://www.medicalc.cz/,Czech Republic,Prague,Medical Calculators,Medical calculation tools
Preventicus,https://www.preventicus.com/,Czech Republic,Prague,Heart Health,Cardiac monitoring app
Surgeo,https://surgeo.cz/,Czech Republic,Prague,Surgical Planning,3D surgical planning
BrainCapture,https://braincapture.com/,Denmark,Copenhagen,Neurology,EEG monitoring for epilepsy
Corti,https://www.corti.ai/,Denmark,Copenhagen,AI Emergency Medicine,AI for emergency calls
Dignio,https://dignio.com/,Denmark,Copenhagen,Remote Care,Remote patient care platform
Enversion,https://www.enversion.dk/,Denmark,Copenhagen,Telehealth,Telehealth platform
GameChange,https://www.gamechange.dk/,Denmark,Copenhagen,Digital Therapeutics,Therapeutic gaming
Monsenso,https://www.monsenso.com/,Denmark,Copenhagen,Mental Health,Digital mental health solutions
OpenTeleHealth,https://www.opentelehealth.com/,Denmark,Copenhagen,Telehealth Infrastructure,Open source telehealth
RadioBotics,https://www.radiobotics.com/,Denmark,Copenhagen,AI Radiology,AI for musculoskeletal radiology
Vital Beats,https://www.vitalbeats.com/,Denmark,Copenhagen,Cardiac Monitoring,Personal ECG monitoring
Ward 24/7,https://ward247.net/,Denmark,Copenhagen,Patient Monitoring,Continuous patient monitoring
Antegenes,https://www.antegenes.com/,Estonia,Tallinn,Precision Medicine,Personalized cancer treatment
Cognuse,https://cognuse.com/,Estonia,Tallinn,Mental Health,Cognitive behavioral therapy app
Dermtest,https://dermtest.com/,Estonia,Tallinn,AI Dermatology,Skin condition analysis app
Get Better,https://getbetter.ee/,Estonia,Tallinn,Digital Therapeutics,Digital health programs
MedIT,https://www.medit.online/,Estonia,Tallinn,Healthcare IT,Digital health infrastructure
Salu,https://salu.ee/,Estonia,Tallinn,Digital Clinic,Digital primary care
Sport ID,https://www.sportid.com/,Estonia,Tallinn,Sports Health,Sports performance tracking
Triumf Health,https://www.triumf.co/,Estonia,Tallinn,Children's Mental Health,Mental health games for kids
