name,website,location,country,description,category,source,collected_date
Ada Health,https://www.f6s.com/company/adahealth,,Europe,"Meet Daniel, Daniel and Charles that work here",Digital Health,F6S Healthcare Startups,2025-07-07
Hale Health,https://www.f6s.com/company/hale-health,,Europe,Meet Gaia and Vittoria that work here,Digital Health,F6S Healthcare Startups,2025-07-07
nilo.health,https://www.f6s.com/company/nilo.health,,Europe,"Meet Ines, Jonas and Catalina that work here",Digital Health,F6S Healthcare Startups,2025-07-07
Orbit Health GmbH,https://www.f6s.com/company/orbit-health-gmbh,,Europe,Meet Ferdinand that works here,Digital Health,F6S Healthcare Startups,2025-07-07
Qunomedical,https://www.f6s.com/company/qunomedical,,Europe,Meet Christiane and Dr. Sebastian that work here,Digital Health,F6S Healthcare Startups,2025-07-07
Related Companies,,,Europe,Medical Technology portfolio company,Healthcare Investment,MedTech Innovator,2025-07-07
Start,https://healthcare-startups.de/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Über Uns,https://healthcare-startups.de/ueber-uns/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Startups,https://healthcare-startups.de/startups/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Events,https://healthcare-startups.de/events/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Interviews,https://healthcare-startups.de/interviews/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Newsletter,https://healthcare-startups.de/newsletter-anmeldung/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Medien,https://healthcare-startups.de/medien/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Datenschutz,https://healthcare-startups.de/datenschutz/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
Impressum,https://healthcare-startups.de/impressum/,,Europe,Found on www.healthcare-startups.de,Digital Health,www.healthcare-startups.de,2025-07-07
